,y
101958,0.008230499136515496
101959,0.04016604172533472
101960,0.0
101961,-0.06506359334706191
101962,-0.008438868645864656
101963,-0.01709443335930011
101964,0.025533302005164765
101965,-0.05173567439918887
101966,0.08479653666007698
101967,-0.0500104205746614
101968,-0.18746295629437326
101969,-0.16799173123912975
101970,0.07061756721395343
101971,0.022472855852058604
101972,0.3980301296206463
101973,-0.05365271349232015
101974,0.23098672877523568
101975,-0.04473589384139148
101976,-0.07461086379117482
101977,0.07461086379117482
101978,-0.060624621816434854
101979,-0.0719734996250892
101980,0.0438026226583928
101981,-0.17946848781154814
101982,0.008510689667908633
101983,-0.06115442315333047
101984,0.026668247082161145
101985,-0.017699577099400732
101986,-0.05505977718302744
101987,0.10724553035359749
