,y
102853,-0.4155154439616658
102854,-0.3856624808119846
102855,-0.35667494393873245
102856,-0.2876820724517809
102857,-0.2231435513142097
102858,-0.13926206733350766
102859,0.009950330853168092
102860,0.131028262406404
102861,0.3001045924503381
102862,0.2776317365982795
102863,0.371563556432483
102864,0.4252677354043441
102865,0.3920420877760237
102866,0.5481214085096875
102867,0.636576829071551
102868,0.6575200029167941
102869,0.6043159668533296
102870,0.7080357930536958
102871,0.6575200029167941
102872,0.636576829071551
102873,0.7839015438284094
102874,0.7793248768009977
102875,0.85015092936961
102876,0.8064758658669485
102877,0.8458682675776092
102878,0.7839015438284094
102879,0.8153648132841944
102880,0.7747271675523681
102881,0.7884573603642703
102882,0.8878912573524571
102883,0.9242589015233319
